"codMinInterno","codIstat","anno","QliRifiuti","KmStrade","Studenti","NrPuntiLuce","NrPermessi","NrIscritti","KmPolizia","NrCertificati","ImpTot","ImpPers","ImpNoPers","vecchiaia","laurea","superficie","altitudine","litoraneità","gradourb","ruralità","PopTot"
1010881330,2134,1994,259.999999165535,9.00067329406738,22,85,10,318.506596306069,1576,132,258457.24,93259.72,165197.52,0.209039553999901,0.0847457647323608,22.61,622,0,1,1,354
1010881450,2147,1994,275.296782374382,15.1157484054565,39,120,8,558,2668,416,331908.26,149678.283691406,182229.976308594,0.289855062961578,0.0837359130382538,12.25,141,0,1,1,621
1010881480,2150,1994,1186,120.746871948242,342,530,88,3005,17382,1013,1668998.64,519694.05,1149304.59,0.228950411081314,0.121683970093727,44.95,182,0,1,1,3468
1010881500,2152,1994,1070.13832366467,80.2253112792969,215,632,26,2052,4900,1711,1178780.34,374171.99,804608.35,0.208455413579941,0.117622435092926,28.66,390,0,1,1,2389
1010520170,3018,1994,405.509433962264,26.9237213134766,87,282,16,986,2800,314,452524.7,207034.942016602,245489.757983398,0.203703701496124,0.103174604475498,12.68,160,0,1,1,1134
1010520180,3019,1994,412.19998896122,20.6291694641113,107,257,25,1013,6000,489,523686.26,220057.12,303629.14,0.210212767124176,0.115744680166245,9.64,389,0,2,0,1175
1010520210,3022,1994,2399.99996781349,17.7664947509766,100,193,19,929,3907,790,403714.87,190055.885925293,213658.984074707,0.185398653149605,0.129683002829552,3.27,400,0,2,0,1041
1010520250,3026,1994,1115.86353778839,37.6153030395508,231,452,44,2291,10249,1094,912260.17,479795.262451172,432464.907548828,0.166286155581474,0.118340946733952,4.75,345,0,2,0,2628
1010520360,3037,1994,296.262077093124,29.7457809448242,52,116,21,674,3758,271,476282.75,132271.84,344010.91,0.184313729405403,0.091503269970417,15.9,151,0,1,1,765
1010520400,3041,1994,926.622710622711,20.3957386016846,73,200,14,749.997629165649,3603,411,407165.84,198606.93359375,208558.90640625,0.219660192728043,0.120145633816719,17.43,141,0,1,1,824
1010520430,3044,1994,900,6.96431684494019,31,82,8,371.13,1532,155,190332.44,84706.68,105625.76,0.254196643829346,0.100719422101974,6.57,233,0,1,1,417
1010520440,3045,1994,2159.76278209686,23.9999980926514,94,208,15,1134,4909,618,528789.89,169168.04,359621.85,0.240584164857864,0.0976172164082527,9.85,243,0,2,0,1301
1010520560,3058,1994,2853.26989102364,39.023063659668,203,395,44,1904,8591,833,900793.28,404028.506774902,496764.773225098,0.186624497175217,0.117035701870918,8.38,289,0,2,0,2213
1010520580,3060,1994,3000.00006580353,22.166389465332,122,208,16,1014.89425478768,4842,564,489007.21,163662.09,325345.12,0.138047143816948,0.138047143816948,5.24,337,0,2,0,1188
1010520600,3062,1994,1541.64129388332,42.3114700317383,202,384,47,2212.80168269231,11759,939,1362879.66,428171.69,934707.97,0.181855008006096,0.105710811913013,7.01,235,0,2,0,2469
1010520640,3066,1994,5604.34418678284,78.7094116210938,213,768,57,2166.71850699844,7944,1074,1064132.07,471031.878662109,593100.191337891,0.222093015909195,0.108139537274837,21.19,260,0,2,0,2580
1010520680,3070,1994,500.000020265579,29.4241333007812,179,310,29,1438,4995,451,564441.94,301971.599731445,262470.340268555,0.160822242498398,0.145707368850708,3.71,397,0,2,0,1654
1010520690,3071,1994,914.480051994324,80.8219223022461,318,525,61,2662.67216756585,8608,918,1235232.17,440304.3,794927.87,0.181528657674789,0.126433119177818,16.14,383,0,2,0,3140
1010520760,3079,1994,15019.6213490229,118.534652709961,414,940,54,4136.81943853679,19827,1940,2088123.04,731278.18,1356844.86,0.226228803396225,0.115475423634052,14.62,322,0,2,0,4659
